"Latitude","Longitude","height_above_gnd"
26.438509,-82.083898,5.95800544
26.434663,-82.080605,5.7742784
26.438303,-82.092735,5.94816292
26.525195,-82.19203,2.952756
26.524839,-82.191745,3.0511812
26.524754,-82.191654,2.952756
26.526061,-82.190942,2.0013124
26.526292,-82.190806,1.8372704
26.523222,-82.189834,2.07349088
26.522164,-82.190788,2.3622048
26.522412,-82.192462,2.3622048
26.521549,-82.190475,2.9855644
26.521662,-82.190479,1.87335964
26.521602,-82.188789,3.772966
26.521768,-82.189237,3.3792652
26.52182,-82.189584,3.2152232
26.523326,-82.188804,2.8215224
26.518221,-82.191559,2.95931768
26.525383,-82.193452,1.67650924
26.525565,-82.193565,4.429134
26.521305,-82.191761,3.608924
26.521859,-82.192745,3.3464568
26.521339,-82.192626,2.26706044
26.521316,-82.192315,3.937008
26.520346,-82.19085,3.28412084
26.520577,-82.188901,3.26115496
26.518101,-82.19012,2.4934384
26.515882,-82.191634,2.0997376
26.516226,-82.191718,1.84383208
